編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
A2-001,A2,001,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在 Low Code 平台的開發應用設計中，關於「模型（Model）」，下列敘述何者最符合實際情況？,(1) 模型僅扮演設計視覺化的輔助工具，對應用邏輯的影響有限,(2) 模型是用來抽象描述資料結構、業務流程與介面邏輯的核心元素，影響應用的設計與維護,(3) 模型僅依循 UML（Unified Modeling Language）等傳統建模方式，缺乏針對 Low Code 環境的延展性,(4) 模型在 Low Code 平台中已被自動程式碼生成全面取代，實際價值有限,2,
A2-002,A2,002,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,企業在導入生成式 AI平台時，往往需要利用分散於不同部門或機構中的大量敏感文本資料。若希望在確保隱私的前提下，仍能讓模型持續優化並降低資料外洩風險，下列哪一種方法最適合？,(1) 同態加密（Homomorphic Encryption）,(2) 安全多方計算（Secure Multi-party Computation）,(3) 零知識證明（Zero-knowledge Proofs）,(4) 聯邦學習（Federated Learning）,4,
A2-003,A2,003,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某企業利用 No Code/Low Code平台開發內部營運系統。為確保系統在跨部門流程與外部服務整合下仍具良好的可測試性（Testability），下列哪一項作法最為合適？,(1) 依賴 No Code/Low Code 平台提供的即時預覽與基本單元測試功能，快速驗證常見流程,(2) 導入可重複執行的自動化測試流程，並透過 API 或服務虛擬化進行模組化驗證,(3) 將測試聚焦於使用者介面互動與操作流程驗證，檢查系統表面功能,(4) 依靠使用者回饋與正式上線後的監控資料，作為修正依據,2,
A2-004,A2,004,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,"某社交平台嘗試結合自動提示工程（Automatic Prompt Engineer, APE）與圖提示（Graph Prompting），讓 AI協助分析使用者之間的互動關係。在這個過程中，下列何者為最可能遇到的挑戰？",(1) 圖結構轉換為文字提示時，可能導致部分關聯資訊遺失,(2) APE在圖資料上無法產生任何提示內容,(3) 圖轉文字後能完整保留所有上下文，對推理不造成影響,(4) Graph Prompting 僅能處理線性路徑，限制多分支探索,1,
A2-005,A2,005,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,"在超長上下文任務中使用自動提示工程（Automatic Prompt Engineer, APE）時，可能面臨的最大限制是什麼？",(1) 迭代優化難以因應上下文的不斷變動，導致調整失效,(2) 模型的記憶容量有限，無法完整保留所有長篇資訊,(3) 提示內容難以有效分解，無法支援複雜任務拆解,(4) 回饋機制通常僅針對局部片段，難以全面評估最終輸出品質,4,
A2-006,A2,006,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某設計團隊計畫在短時間內完成一款行動應用程式，必須同時達到高度個人化體驗、快速生成介面與行銷內容自動產出等需求。若結合 No Code/Low Code 平台與生成式 AI 技術，以下哪一種整合策略最能符合目標？,(1) 使用生成式 AI 自動產生 API 呼叫與元件配置，並由開發者手動整合至 No Code 平台流程,(2) 透過生成式 AI 在 No Code 平台中自動建立介面模板，並結合使用者數據即時生成個人化功能與行銷推播內容,(3) 在 No Code 平台中導入生成式 AI，快速建立跨專案可重用的通用模組，專注於提升開發速度,(4) 在 No Code 平台中完全依賴生成式 AI 自動產生所有應用功能與流程，不經人工設計或驗證,2,
A2-007,A2,007,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某團隊希望讓 AI 自動查詢 GitHub 上的程式碼庫，並生成摘要給使用者參考。開發者決定透過 Model Context Protocol（MCP）來實現，AI需先發出請求，再經由 MCP 架構逐步完成查詢與回傳。在此情境下，MCP運作流程的正確順序為何？,(1) MCP Server→AI Host→MCP Client→資料查詢→結果回傳 AI Host,(2) MCP Client→AI Host→MCP Server→資料查詢→結果回傳 AI Host,(3) AI Host→MCP Client→ MCP Server→資料查詢→結果回傳 AI Host,(4) AI Host→MCP Server→MCP Client→資料查詢→結果回傳 AI Host,3,
A2-008,A2,008,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在 Agent-to-Agent（A2A）架構中，不同代理人之間會分工合作。一般而言，下列敘述何者最符合 Client Agent 與 Remote Agent的互動流程？,(1) Remote Agent 主動分派任務給 Client Agent,(2) 由人工事先設定 Client Agent與 Remote Agent處理任務的先後順序,(3) Client Agent 發起任務，Remote Agent執行並回傳結果,(4) Client Agent與 Remote Agent同時處理任務並同步處理結果,3,
A2-009,A2,009,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在導入生成式 AI的應用規劃中，上下文工程（Context Engineering）的核心目的為何？,(1) 縮短模型訓練時間,(2) 優化提示與上下文,(3) 增加模型參數數量,(4) 優化 Fine-tuning正確率,2,
A2-010,A2,010,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某公司在導入生成式 AI協助撰寫內部報告時，測試人員刻意在輸入的上下文中放入互相矛盾的資訊（例如：同一位員工在不同段落被描述為「入職三年」與「入職五年」）。在這種情況下，最常見的模型行為會是什麼？,(1) 永遠選擇第一段資訊作為答案依據,(2) 可能生成幻覺或隨機採信其中一方的內容,(3) 拒絕回答，並要求提供更一致的輸入,(4) 自動判斷並只選擇正確的資訊,2,
A2-011,A2,011,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,Agentic AI 在解決方案圖譜（Solution Graph）上尋找最佳解決路徑時，通常會使用什麼樣的搜尋策略？,(1) 使用廣度優先、深度優先或最佳優先等演算法進行探索,(2) 每一步都隨機選擇動作，反覆嘗試直到找到一條可行路徑,(3) 只執行事先假定的一條路徑，失敗就停止,(4) 完全依靠 LLM一次性推斷最優完整路徑,1,
A2-012,A2,012,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某企業考慮將開源大型語言模型（GPT-OSS）自行部署在本地伺服器，以取代雲端服務。下列何者最能代表本地部署對企業的實際好處？,(1) 可以達到無運算成本，因為本地部署模型不會產生額外的資源消耗,(2) 模型的預測能力會比在雲端運行時更精度，因為本地環境更加可靠,(3) 可確保輸入模型的敏感資料不會傳輸給第三方，提升資料隱私和自主控制,(4) 以上皆是,3,
A2-013,A2,013,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,關於 GitHub Copilot，下列敘述何者正確？,(1) GitHub Copilot基於程式碼片段查詢工具，透過後端搜尋大型程式碼資料庫提供建議,(2) GitHub Copilot 僅適用於 GitHub上的開源專案，無法在私有程式碼庫或本地環境中提供程式碼補全建議,(3) GitHub Copilot 利用靜態分析技術分析程式碼，根據邏輯流程推導下一步應寫的程式碼,(4) GitHub Copilot 由 OpenAI的 Codex模型提供技術支援，可即時在開發者編輯程式碼時給出整行或整個函式建議,4,
A2-014,A2,014,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某電商公司導入 Agentic AI來處理客服工作。測試發現 Agent 在回答產品 FAQ 時經常出錯，且無法幫客戶修改訂單。這種情況最可能是因為缺少下列哪兩項工具或技術？,(1) API調用（API Calling）＋ 任務規劃器（Task Planner）,(2) 向量資料庫檢索（Vector Retrieval）＋API調用（API Calling）,(3) 向量資料庫檢索（Vector Retrieval）＋任務規劃器（Task Planner）,(4) 任務規劃器（Task Planner）＋溫度參數（Temperature）設定,2,
A2-015,A2,015,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某客服自動回應系統希望根據不同客戶群體調整回覆風格。在兼顧即時性與效果的前提下，下列哪一種方案最適合？,(1) 直接微調預訓練模型針對每個客戶群體分別訓練不同風格模型,(2) 利用控制變量（Control Tokens）或風格標籤在同一模型內動態調整風格,(3) 利用生成對抗網路（GAN）生成不同風格文本，並透過人工篩選最終答案,(4) 採用規則式替換方法，替換回覆詞彙以符合不同風格要求,2,
A2-016,A2,016,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,在建置多代理大型語言模型（Multi-agent LLMs）系統時，如果沒有清楚定義每個代理的任務啟動條件和角色分工，最可能出現什麼問題？,(1) 回覆內容前後不連貫，系統邏輯斷裂,(2) 不同代理的答案互相衝突，無法判斷最終決策,(3) 系統陷入無限對話循環，導致資源耗盡,(4) 多個代理重複做同樣的任務，造成效率低落,4,
A2-017,A2,017,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某公司部署結合 Fine-tuning與檢索增強生成（RAG）的語言模型系統作為內部文件助理。系統需同時確保回覆語氣一致、能即時查詢每日新增文件、維持效能穩定，並避免頻繁重新訓練。在長期維護與效能平衡下，下列哪一種策略最合適？,(1) 每週重新 Fine-tune模型，將新文件整合進模型知識，逐步取代 RAG 模組,(2) 完全依靠基礎模型與 RAG，不進行 Fine-tune，僅透過提示設計控制語氣,(3) 每日進行增量 Fine-tune，讓模型即時學習新文件內容，避免依賴檢索,(4) 保留語氣相關 Fine-tuning，僅透過檢索系統更新文件內容，不頻繁改動模型,4,
A2-018,A2,018,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某客服系統在回覆「訂單取消政策」時，即使生成溫度固定為 0.6，回覆品質仍常出現差異。調查顯示，檢索到的政策內容有時是最新版本，有時則是過時文件，此外 Prompt約束不足，微調語料也有模糊描述。若要優先改善品質波動，應先解決下列哪一項問題？,(1) 調整溫度參數，降低生成隨機性,(2) 加強 Prompt 設計，限制模型表達方式,(3) 優化微調語料，減少含糊描述,(4) 提升檢索系統品質，確保取得的政策內容正確且最新,4,
A2-019,A2,019,114年第四梯次初級AI應用規劃師第二科生成式AI應用與規劃(當次試題公告114_20251226000507.pdf,某醫院導入了一套智慧系統，由三個模組構成：語音辨識（ASR） → 語言模型生成（LLM） → 查詢醫療資料庫 API。近期發現部分查詢結果錯誤，例如醫師詢問「術後復健流程」時，系統卻誤判為要查詢「術前注意事項」，因此查詢到錯誤的文件。經檢查已排除語音辨識的錯誤，下列何者最可能是造成查詢錯誤的來源？,(1) 醫療資料庫 API對應規則設計不清，造成意圖映射模糊,(2) LLM的 Prompt 缺乏明確指示，導致語意分類判斷錯誤,(3) 查詢 API 回傳速度過慢，影響系統處理正確性,(4) LLM 未經醫療領域微調，難以正確理解專業性詞彙,2,
